Skeleton ID,Skeleton Comment,Node ID,X,Y,Z,Radius,Node Comment
71,.,71,7448,7700,1011,143.094,First Node
102,.,9240,7302,7691,1080,16.049,.
103,.,9279,6922,7596,1275,13.3741,.
104,.,9280,6593,7640,1356,13.3741,.
105,.,9281,6364,7715,1348,7.73967,.
106,filled-in,9282,6239,7720,1415,9.2876,.
108,.,9283,6206,7780,1398,4.47898,.
111,IV,9284,6198,7829,1384,5.37477,.
112,.,9285,6170,7871,1367,5.37477,.
113,.,9286,6129,7916,1346,6.44972,.
115,.,9287,6086,8016,1318,7.73967,.
116,.,9288,6007,8111,1310,5.37477,.
117,L23_FIN,9289,5968,8167,1299,4.47898,.
118,L23_FIN,9290,5917,8230,1282,5.37477,.
119,L23_FIN,9291,6187,7709,1445,9.2876,.
120,L23_FIN,9292,6050,7711,1533,11.1451,.
121,L23_FIN,9293,5906,7702,1594,6.44972,.
122,L23_FIN,9294,5734,7658,1652,6.44972,.
123,L23_FIN,9295,5621,7649,1690,9.2876,.
124,L4_SSN_fin,9296,5525,7660,1743,6.44972,.
125,.,9297,5477,7651,1776,9.2876,.
126,L23_FIN,9298,6535,7592,1337,6.44972,.
127,L23_FIN,9299,6521,7556,1310,7.73967,.
128,.,9300,6503,7476,1252,11.1451,.
129,filled-in,9301,6515,7411,1207,13.3741,.
131,.,9302,6541,7320,1164,7.73967,.
132,incomplete,9303,6555,7272,1151,7.73967,.
134,IV,9304,6556,7236,1144,7.73967,.
135,L23_Fin,9305,6561,7177,1124,6.44972,.
136,L23_FIN,9306,6565,7147,1096,9.2876,.
138,L23_FIN,9307,6579,7115,1068,7.73967,.
139,L23_FIN,9308,6607,7063,1040,7.73967,.
146,L5_Pyramidal Neuron (PN) FIN_but not full neuron,9309,6608,6996,1025,6.44972,.
147,L@#_FIN_nonneuronal?,9310,6599,6970,1006,9.2876,.
148,L23_FIN,9311,6587,6938,990,7.73967,.
149,L23_FIN,9312,6590,6898,973,9.2876,.
150,.,9313,6611,6869,957,7.73967,.
151,L23_FIN,9314,6625,6826,937,7.73967,.
152,L23_NoFin,9315,6653,6777,935,7.73967,.
153,.,9316,6684,6733,930,7.73967,.
154,.,9317,6709,6698,925,6.44972,.
157,.,9318,6730,6638,912,9.2876,.
158,L4/5_Spiny Stellate Neuron (SSN)_fin,9319,6731,6419,851,6.44972,.
159,L5,9320,6733,6315,833,6.44972,.
163,split axon,9321,6603,7683,1375,6.44972,.
168,L4/L5 PN with MA-incomplete,9322,6599,7715,1394,6.19174,.
169,L4/5 SSN_fin,9323,6599,7791,1441,5.37477,.
170,L4/5 _ssn or pn??_FIN,9324,6578,7881,1467,6.44972,.
279,.,9325,6568,8001,1496,5.37477,.
304,.,9326,6578,8044,1530,5.37477,.
409,.,9327,6597,8110,1578,5.37477,.
410,.,9328,6623,8140,1611,6.44972,.
412,.,9329,6639,8210,1687,6.44972,.
413,.,9330,6652,8227,1720,2.16,.
414,.,9331,6663,8262,1766,6.44972,.
416,.,9332,6928,7578,1316,9.2876,.
,,9333,6900,7503,1411,11.1451,.
,,9334,6898,7445,1516,9.2876,.
,,9335,6909,7355,1539,6.44972,.
,,9336,6926,7240,1558,5.37477,.
,,9337,6943,7068,1563,9.2876,.
,,9338,6938,7031,1545,9.2876,.
,,9339,6930,6961,1527,6.44972,.
,,9340,6906,6864,1521,7.73967,.
,,9341,6890,6751,1516,6.44972,.
,,9342,6894,6660,1513,6.44972,.
,,9343,6891,6612,1530,6.44972,.
,,9344,6879,6512,1533,5.37477,.
,,9345,6884,6383,1532,4.47898,.
,,9346,6893,6344,1547,6.44972,.
,,9347,6895,6310,1566,5.37477,.
,,9348,6904,6276,1580,6.44972,.
,,9349,6911,6250,1594,6.44972,.
,,9350,6916,6227,1606,5.37477,.
,,9351,6929,6186,1612,5.37477,.
,,9352,6936,6105,1605,6.44972,.
,,9353,6928,6015,1623,6.44972,.
,,9354,6902,5918,1627,4.47898,.
,,9355,6886,5831,1616,6.44972,.
,,9356,6872,5779,1611,5.37477,.
,,9357,6861,5703,1607,6.44972,.
,,9358,6844,5637,1615,5.37477,.
,,9359,6826,5586,1611,5.37477,.
,,9360,6807,5535,1607,6.44972,.
,,9361,6787,5509,1610,6.44972,.
,,9362,6764,5490,1611,5.37477,.
,,9363,6751,5466,1609,7.73967,.
,,9364,6722,5396,1604,6.44972,.
,,9365,6679,5320,1619,5.37477,.
,,9366,6638,5261,1617,6.44972,.
,,9367,6617,5238,1605,5.37477,.
,,9368,6595,5172,1583,6.44972,.
,,9369,6594,5151,1572,7.73967,.
,,9370,6960,6914,1527,4.47898,.
,,9371,6981,6854,1498,7.73967,.
,,9372,6995,6820,1483,6.44972,.
,,9373,7008,6777,1462,6.44972,.
,,9374,7025,6743,1441,7.73967,.
,,9375,7067,6668,1424,7.73967,.
,,9376,7120,6584,1413,7.73967,.
,,9377,7149,6535,1403,5.37477,.
,,9378,7184,6463,1380,5.37477,.
,,9379,7202,6387,1372,7.73967,.
,,9380,7209,6313,1349,4.47898,.
,,9381,7219,6234,1335,5.37477,.
,,9382,6897,7439,1552,1.5,.
,,9383,6879,7435,1609,6.44972,.
,,9384,6850,7408,1670,6.44972,.
,,9385,6824,7375,1767,6.44972,.
,,9386,7488,7759,1163,9.2876,.
,,9387,7588,7785,1421,11.1451,.
,,9388,7570,7810,1473,7.73967,.
,,9389,7560,7848,1515,7.73967,.
,,9390,7565,7856,1546,5.94407,.
,,9391,7558,7883,1577,9.2876,.
,,9392,7559,7975,1649,6.44972,.
,,9393,7556,8047,1679,7.73967,.
,,9394,7493,8245,1679,5.37477,.
,,9395,7451,8334,1695,3.73248,.
,,9396,7419,8384,1709,4.47898,.
,,9397,7377,8486,1727,5.37477,.
,,9398,7345,8578,1704,6.44972,.
,,9399,7295,8661,1704,5.37477,.
,,9400,7263,8792,1707,4.47898,.
,,9401,7257,8840,1726,6.44972,.
,,9402,7232,8921,1744,5.37477,.
,,9403,7195,9101,1753,5.37477,.
,,9404,7206,9221,1762,5.37477,.
,,9405,7558,8052,1702,5.37477,.
,,9406,7574,8083,1757,6.44972,.
,,9407,7589,8111,1782,5.37477,.
,,9408,7622,7819,1463,6.44972,.
,,9409,7682,7887,1523,7.73967,.
,,9410,7727,7922,1558,9.2876,.
,,9411,7767,7952,1620,5.37477,.
,,9412,7838,8018,1649,5.37477,.
,,9413,7855,8036,1674,7.73967,.
,,9414,7880,8036,1698,6.44972,.
,,9415,7900,8032,1732,6.44972,.
,,9416,7937,8043,1770,5.37477,.
,,9417,7778,7931,1654,7.73967,.
,,9418,7794,7928,1677,7.73967,.
,,9419,7796,7912,1705,7.73967,.
,,9420,7608,7670,918,8.9161,.
,,9421,7705,7675,823,7.73967,.
,,9422,7837,7695,761,5.37477,.
,,9423,7922,7638,696,7.73967,.
,,9424,7978,7626,647,5.37477,.
,,9425,8070,7611,600,6.44972,MA
,,9426,8206,7581,536,6.44972,.
,,9427,8343,7544,457,7.73967,.
,,9428,8429,7528,367,6.44972,.
,,9429,8524,7535,327,4.47898,.
,,9430,8538,7535,317,6.44972,dMA
,,9431,8566,7567,272,5.37477,.
,,9432,8577,7584,246,3.73248,.
,,9433,8796,7586,142,4.47898,rMA
,,9434,8899,7559,74,6.44972,.
,,9435,9062,7582,7,9.2876,.
,,9436,7340,7640,879,6.44972,.
,,9437,7320,7642,806,6.44972,.
,,9438,7252,7624,680,9.2876,.
,,9439,7193,7642,654,5.37477,.
,,9440,7066,7684,569,5.37477,.
,,9441,7021,7720,527,4.47898,.
,,9442,6935,7722,475,4.47898,.
,,9443,6816,7732,406,3.73248,.
,,9444,6776,7692,395,6.44972,.
,,9445,6733,7648,391,6.44972,.
,,9446,6679,7624,369,4.47898,.
,,9447,7256,7614,650,6.44972,.
