Skeleton_ID,Skeleton_Comment,Source_ID,x_x,y_x,z_x,Target_ID,x_y,y_y,z_y
108,.,1189,16840,9026,3,1190,16562,9036,77
108,,1189,16840,9026,3,1205,16842,9170,42
108,,1189,16840,9026,3,1256,16815,8997,105
108,,1190,16562,9036,77,1191,16210,8955,196
108,,1191,16210,8955,196,1192,16053,8954,268
108,,1192,16053,8954,268,1193,16002,8945,316
108,,1193,16002,8945,316,1194,15738,8953,555
108,,1194,15738,8953,555,1195,15559,8876,710
108,,1195,15559,8876,710,1196,15351,8927,908
108,,1196,15351,8927,908,1197,14987,8876,1127
108,,1197,14987,8876,1127,1198,14655,8857,1180
108,,1198,14655,8857,1180,1199,14413,8819,1329
108,,1199,14413,8819,1329,1200,14252,8802,1375
108,,1200,14252,8802,1375,1201,14176,8793,1440
108,,1201,14176,8793,1440,1202,14058,8718,1594
108,,1202,14058,8718,1594,1203,14007,8626,1747
108,,1203,14007,8626,1747,1204,13972,8597,1785
108,,1205,16842,9170,42,1206,16922,9312,57
108,,1206,16922,9312,57,1207,16915,9324,99
108,,1206,16922,9312,57,1240,16943,9383,45
108,,1207,16915,9324,99,1208,16937,9337,142
108,,1208,16937,9337,142,1209,16947,9343,176
108,,1209,16947,9343,176,1210,16951,9355,202
108,,1210,16951,9355,202,1211,16969,9344,207
108,,1210,16951,9355,202,1232,16940,9370,206
108,,1211,16969,9344,207,1212,16989,9344,230
108,,1212,16989,9344,230,1213,17011,9341,252
108,,1213,17011,9341,252,1214,17026,9339,294
108,,1214,17026,9339,294,1215,17052,9345,335
108,,1215,17052,9345,335,1216,17083,9340,351
108,,1216,17083,9340,351,1217,17147,9323,409
108,,1216,17083,9340,351,1218,17164,9342,443
108,,1218,17164,9342,443,1219,17178,9342,482
108,,1219,17178,9342,482,1220,17203,9340,530
108,,1220,17203,9340,530,1221,17193,9355,535
108,,1220,17203,9340,530,1222,17224,9331,549
108,,1222,17224,9331,549,1223,17245,9325,577
108,,1223,17245,9325,577,1224,17250,9309,595
108,,1224,17250,9309,595,1225,17271,9296,619
108,,1225,17271,9296,619,1226,17287,9283,635
108,,1226,17287,9283,635,1227,17308,9267,666
108,,1227,17308,9267,666,1228,17317,9260,687
108,,1228,17317,9260,687,1229,17334,9246,705
108,,1229,17334,9246,705,1230,17342,9237,748
108,,1230,17342,9237,748,1231,17354,9226,774
108,,1232,16940,9370,206,1233,16927,9380,236
108,,1233,16927,9380,236,1234,16918,9405,258
108,,1234,16918,9405,258,1235,16909,9445,283
108,,1235,16909,9445,283,1236,16896,9482,293
108,,1236,16896,9482,293,1237,16873,9544,307
108,,1237,16873,9544,307,1238,16844,9621,316
108,,1238,16844,9621,316,1239,16822,9666,314
108,,1240,16943,9383,45,1241,16958,9464,30
108,,1241,16958,9464,30,1242,16968,9513,18
108,,1242,16968,9513,18,1243,16967,9582,18
108,,1243,16967,9582,18,1244,16967,9647,14
108,,1244,16967,9647,14,1245,16950,9708,14
108,,1246,16942,9744,10,1247,16929,9802,10
108,,1246,16942,9744,10,1245,16950,9708,14
108,,1247,16929,9802,10,1248,16922,9869,8
108,,1248,16922,9869,8,1249,16927,9897,6
108,,1250,16916,9949,6,1249,16927,9897,6
108,,1250,16916,9949,6,1251,16907,9987,9
108,,1251,16907,9987,9,1252,16891,10039,9
108,,1252,16891,10039,9,1253,16875,10084,9
108,,1254,16848,10120,9,1253,16875,10084,9
108,,1255,16828,10145,1,1254,16848,10120,9
108,,1256,16815,8997,105,1257,16839,8992,122
108,,1257,16839,8992,122,1258,16863,8986,164
108,,1258,16863,8986,164,1259,16878,8993,195
108,,1259,16878,8993,195,1260,16895,8986,241
108,,1260,16895,8986,241,1261,16899,8974,271
108,,1261,16899,8974,271,1262,16892,8970,303
108,,1262,16892,8970,303,1263,16877,8974,326
108,,1263,16877,8974,326,1264,16864,8986,355
108,,1264,16864,8986,355,1265,16858,8983,376
108,,1265,16858,8983,376,1266,16849,9013,412
108,,1266,16849,9013,412,1267,16828,9038,426
108,,1267,16828,9038,426,1268,16811,9058,448
108,,1268,16811,9058,448,1269,16794,9116,466
108,,1269,16794,9116,466,1270,16787,9160,509
108,,1270,16787,9160,509,1271,16777,9215,560
108,,1271,16777,9215,560,1272,16778,9248,586
108,,1272,16778,9248,586,1273,16770,9264,611
108,,1273,16770,9264,611,1274,16782,9300,646
108,,1274,16782,9300,646,1275,16793,9309,677
115,.,1803,6052,6349,684,1804,5872,6339,782
115,,1803,6052,6349,684,1830,6250,6331,730
115,,1803,6052,6349,684,1842,6019,6119,611
115,,1803,6052,6349,684,1866,6269,6406,575
115,,1803,6052,6349,684,1870,6075,6533,587
115,,1804,5872,6339,782,1805,5665,6343,892
115,,1805,5665,6343,892,1806,5528,6379,956
115,,1806,5528,6379,956,1807,5176,6399,1223
115,,1807,5176,6399,1223,1808,5058,6399,1299
115,,1808,5058,6399,1299,1809,4943,6383,1360
115,,1809,4943,6383,1360,1810,4750,6375,1390
115,,1809,4943,6383,1360,1826,4887,6383,1472
115,,1810,4750,6375,1390,1811,4584,6407,1425
115,,1811,4584,6407,1425,1812,4454,6431,1428
115,,1812,4454,6431,1428,1813,4313,6469,1437
115,,1813,4313,6469,1437,1814,4188,6495,1487
115,,1814,4188,6495,1487,1815,4011,6503,1534
115,,1815,4011,6503,1534,1816,3871,6519,1584
115,,1816,3871,6519,1584,1817,3807,6557,1589
115,,1817,3807,6557,1589,1818,3741,6593,1609
115,,1818,3741,6593,1609,1819,3686,6627,1616
115,,1819,3686,6627,1616,1820,3614,6693,1613
115,,1820,3614,6693,1613,1821,3443,6785,1615
115,,1821,3443,6785,1615,1822,3338,6823,1641
115,,1822,3338,6823,1641,1823,3211,6889,1699
115,,1823,3211,6889,1699,1824,3090,6959,1733
115,,1824,3090,6959,1733,1825,2982,7005,1769
115,,1826,4887,6383,1472,1827,4812,6417,1596
115,,1827,4812,6417,1596,1828,4638,6417,1720
115,,1828,4638,6417,1720,1829,4556,6409,1775
115,,1830,6250,6331,730,1831,6324,6333,775
115,,1831,6324,6333,775,1832,6390,6333,806
115,,1832,6390,6333,806,1833,6490,6319,908
115,,1833,6490,6319,908,1834,6561,6359,952
115,,1834,6561,6359,952,1835,6644,6419,988
115,,1835,6644,6419,988,1836,6775,6431,998
115,,1836,6775,6431,998,1837,6837,6415,990
115,,1837,6837,6415,990,1838,6924,6437,998
115,,1838,6924,6437,998,1839,6998,6491,983
115,,1839,6998,6491,983,1840,7100,6537,1011
115,,1840,7100,6537,1011,1841,7202,6517,1075
115,,1842,6019,6119,611,1843,6007,5945,578
115,,1843,6007,5945,578,1844,6003,5896,567
115,,1844,6003,5896,567,1845,6023,5856,548
115,,1844,6003,5896,567,1851,5969,5704,579
115,,1844,6003,5896,567,1852,5963,5607,559
115,,1844,6003,5896,567,1858,5930,5847,543
115,,1845,6023,5856,548,1846,6113,5787,506
115,,1846,6113,5787,506,1847,6185,5734,516
115,,1847,6185,5734,516,1848,6253,5667,508
115,,1848,6253,5667,508,1849,6273,5623,472
115,,1849,6273,5623,472,1850,6273,5566,408
115,,1852,5963,5607,559,1853,5964,5489,559
115,,1853,5964,5489,559,1854,5957,5381,567
115,,1854,5957,5381,567,1855,5946,5325,597
115,,1855,5946,5325,597,1856,5939,5266,633
115,,1856,5939,5266,633,1857,5942,5229,661
115,,1858,5930,5847,543,1859,5834,5767,499
115,,1859,5834,5767,499,1860,5773,5738,457
115,,1860,5773,5738,457,1861,5712,5672,417
115,,1861,5712,5672,417,1862,5662,5643,391
115,,1862,5662,5643,391,1863,5593,5562,321
115,,1863,5593,5562,321,1864,5545,5509,275
115,,1864,5545,5509,275,1865,5509,5461,213
115,,1866,6269,6406,575,1867,6359,6406,547
115,,1867,6359,6406,547,1868,6406,6444,537
115,,1868,6406,6444,537,1869,6543,6498,529
115,,1870,6075,6533,587,1871,6071,6579,562
115,,1871,6071,6579,562,1872,6077,6730,524
115,,1872,6077,6730,524,1873,6146,6848,524
115,,1872,6077,6730,524,1896,6048,6834,488
115,,1873,6146,6848,524,1874,6155,6954,538
115,,1873,6146,6848,524,1894,6180,6873,498
115,,1874,6155,6954,538,1875,6207,7103,548
115,,1875,6207,7103,548,1876,6253,7201,526
115,,1876,6253,7201,526,1877,6296,7324,504
115,,1877,6296,7324,504,1878,6316,7453,490
115,,1878,6316,7453,490,1879,6390,7595,474
115,,1878,6316,7453,490,1887,6315,7508,520
115,,1879,6390,7595,474,1880,6399,7698,458
115,,1880,6399,7698,458,1881,6446,7766,458
115,,1881,6446,7766,458,1882,6491,7847,432
115,,1882,6491,7847,432,1883,6544,7899,418
115,,1883,6544,7899,418,1884,6581,7942,394
115,,1884,6581,7942,394,1885,6598,7957,372
115,,1885,6598,7957,372,1886,6627,7975,338
115,,1887,6315,7508,520,1888,6308,7555,562
115,,1888,6308,7555,562,1889,6296,7602,610
115,,1889,6296,7602,610,1890,6274,7643,646
115,,1890,6274,7643,646,1891,6301,7690,690
115,,1891,6301,7690,690,1892,6326,7747,722
115,,1892,6326,7747,722,1893,6368,7799,760
115,,1894,6180,6873,498,1895,6178,6910,454
115,,1896,6048,6834,488,1897,6057,7044,488
115,,1897,6057,7044,488,1898,6053,7101,506
115,,1898,6053,7101,506,1899,6065,7183,536
115,,1899,6065,7183,536,1900,6212,7318,552
115,,1899,6065,7183,536,1908,6021,7305,588
115,,1900,6212,7318,552,1901,6257,7392,540
115,,1901,6257,7392,540,1902,6313,7468,540
115,,1902,6313,7468,540,1903,6360,7503,592
