Skeleton_ID,Skeleton_Comment,Node_ID,X,Y,Z,Radius,Node_Comment,index,From_Soma?,Branch_node?,End_node?,Dendrite_Level,Euclidean_Distance_From_Soma,Sholl_Classification,Parent_ID
2,.,176,36658,3438,973,99.371,soma_002,0,.,yes,.,primary,0.0,Soma,.
2,,177,36794,3446,911,1.5,dend_001,1,yes,.,.,primary,149.67965793654128,Basal,176
2,,178,36817,3445,926,1.5,.,2,.,.,.,primary,165.9487872808958,Basal,177
2,,179,36833,3443,938,1.5,.,3,.,.,.,primary,178.53571071357126,Basal,178
2,,180,36856,3428,957,1.5,.,4,.,.,.,primary,198.89695824722912,Basal,179
2,,181,36866,3420,974,1.5,.,5,.,.,.,primary,208.77978829379055,Basal,180
2,,182,36869,3407,992,1.5,.,6,.,.,.,primary,214.10978492352936,Basal,181
2,,183,36879,3378,1009,1.5,.,7,.,.,yes,primary,231.81242417092315,Basal,182
2,,184,36780,3544,985,1.5,dend_002,8,yes,.,.,primary,162.06171663906315,Basal,176
2,,185,36798,3553,994,1.5,.,9,.,.,.,primary,182.3896926912264,Basal,184
2,,186,36855,3584,994,1.5,.,10,.,.,.,primary,246.1016050333683,Basal,185
2,,187,36938,3621,994,1.5,.,11,.,.,.,primary,335.1566797782792,Basal,186
2,,188,36945,3624,1001,1.5,.,12,.,.,.,primary,343.14574163174456,Basal,187
2,,189,36956,3625,1010,1.5,.,13,.,.,.,primary,353.75415191909764,Basal,188
2,,190,36983,3628,1021,1.5,.,14,.,.,.,primary,379.51152815164915,Basal,189
2,,191,37003,3633,1030,1.5,.,15,.,.,.,primary,400.373575551634,Basal,190
2,,192,37021,3631,1049,1.5,.,16,.,.,.,primary,418.08372367266344,Basal,191
2,,193,37045,3629,1074,1.5,.,17,.,.,.,primary,443.2279323327897,Basal,192
2,,194,37076,3640,1093,1.5,.,18,.,.,.,primary,479.50808126662474,Basal,193
2,,195,37090,3651,1111,1.5,.,19,.,.,.,primary,501.03592685555,Basal,194
2,,196,37116,3658,1136,1.5,.,20,.,.,.,primary,533.6037855937681,Basal,195
