Skeleton_ID,Skeleton_Comment,Source_ID,x_x,y_x,z_x,Target_ID,x_y,y_y,z_y
39,*C,5609,14071,3607,914,5610,14141,3746,908
39,,5609,14071,3607,914,5631,14032,3545,760
39,,5609,14071,3607,914,5715,13905,3533,924
39,,5609,14071,3607,914,5777,14167,3453,897
39,,5610,14141,3746,908,5611,14163,3784,862
39,,5611,14163,3784,862,5612,14209,3918,840
39,,5612,14209,3918,840,5613,14246,3970,838
39,,5613,14246,3970,838,5614,14338,4023,838
39,,5614,14338,4023,838,5615,14382,4050,847
39,,5615,14382,4050,847,5616,14449,4083,847
39,,5615,14382,4050,847,5626,14377,4084,874
39,,5616,14449,4083,847,5617,14512,4141,865
39,,5617,14512,4141,865,5618,14544,4190,885
39,,5618,14544,4190,885,5619,14554,4191,911
39,,5619,14554,4191,911,5620,14568,4190,936
39,,5619,14554,4191,911,5623,14557,4215,928
39,,5620,14568,4190,936,5621,14591,4162,966
39,,5621,14591,4162,966,5622,14626,4131,1002
39,,5623,14557,4215,928,5624,14558,4238,948
39,,5624,14558,4238,948,5625,14558,4263,972
39,,5626,14377,4084,874,5627,14383,4132,887
39,,5627,14383,4132,887,5628,14386,4217,908
39,,5628,14386,4217,908,5629,14375,4332,943
39,,5629,14375,4332,943,5630,14379,4368,957
39,,5632,14031,3553,738,5633,14006,3634,738
39,,5632,14031,3553,738,5689,14032,3468,742
39,,5633,14006,3634,738,5634,13991,3662,706
39,,5634,13991,3662,706,5635,13975,3696,674
39,,5635,13975,3696,674,5636,13968,3710,635
39,,5636,13968,3710,635,5637,13989,3755,611
39,,5636,13968,3710,635,5661,13954,3712,597
39,,5637,13989,3755,611,5638,13989,3803,592
39,,5638,13989,3803,592,5639,13975,3856,561
39,,5639,13975,3856,561,5640,13954,3954,509
39,,5640,13954,3954,509,5641,13952,4028,473
39,,5641,13952,4028,473,5642,13950,4057,445
39,,5642,13950,4057,445,5643,13970,4074,433
39,,5642,13950,4057,445,5655,13933,4092,435
39,,5643,13970,4074,433,5644,13985,4113,412
39,,5644,13985,4113,412,5645,13991,4173,379
39,,5645,13991,4173,379,5646,14022,4225,339
39,,5646,14022,4225,339,5647,14089,4273,302
39,,5647,14089,4273,302,5648,14135,4286,267
39,,5648,14135,4286,267,5649,14179,4308,256
39,,5649,14179,4308,256,5650,14213,4316,243
39,,5650,14213,4316,243,5651,14245,4345,229
39,,5651,14245,4345,229,5652,14324,4426,197
39,,5652,14324,4426,197,5653,14374,4476,187
39,,5653,14374,4476,187,5654,14406,4525,181
39,,5655,13933,4092,435,5656,13933,4122,425
39,,5656,13933,4122,425,5657,13927,4169,413
39,,5657,13927,4169,413,5658,13919,4263,393
39,,5658,13919,4263,393,5659,13903,4353,369
39,,5659,13903,4353,369,5660,13896,4387,347
39,,5661,13954,3712,597,5662,13938,3714,574
39,,5662,13938,3714,574,5663,13928,3745,543
39,,5663,13928,3745,543,5664,13916,3799,512
39,,5664,13916,3799,512,5665,13914,3815,484
39,,5665,13914,3815,484,5666,13925,3833,460
39,,5666,13925,3833,460,5667,13924,3844,440
39,,5667,13924,3844,440,5668,13918,3864,412
39,,5668,13918,3864,412,5669,13907,3901,384
39,,5669,13907,3901,384,5670,13886,3925,355
39,,5670,13886,3925,355,5671,13862,3945,326
39,,5671,13862,3945,326,5672,13885,3933,312
39,,5671,13862,3945,326,5677,13833,3932,292
39,,5672,13885,3933,312,5673,13897,3925,289
39,,5673,13897,3925,289,5674,13894,3920,275
39,,5674,13894,3920,275,5675,13902,3906,249
39,,5675,13902,3906,249,5676,13898,3882,221
39,,5677,13833,3932,292,5678,13804,3920,261
39,,5678,13804,3920,261,5679,13799,3899,244
39,,5678,13804,3920,261,5682,13792,3949,261
39,,5679,13799,3899,244,5680,13787,3884,222
39,,5680,13787,3884,222,5681,13774,3867,192
39,,5682,13792,3949,261,5683,13759,3966,238
39,,5683,13759,3966,238,5684,13685,4029,197
39,,5684,13685,4029,197,5685,13611,4070,168
39,,5685,13611,4070,168,5686,13581,4105,168
39,,5686,13581,4105,168,5687,13518,4188,128
39,,5687,13518,4188,128,5688,13508,4233,111
39,,5689,14032,3468,742,5690,14020,3435,697
39,,5690,14020,3435,697,5691,13991,3354,654
39,,5691,13991,3354,654,5692,13989,3308,630
39,,5692,13989,3308,630,5693,13961,3271,616
39,,5692,13989,3308,630,5706,14002,3289,593
39,,5693,13961,3271,616,5694,13944,3228,616
39,,5694,13944,3228,616,5695,13927,3211,608
39,,5695,13927,3211,608,5696,13889,3159,596
39,,5696,13889,3159,596,5697,13870,3125,579
39,,5697,13870,3125,579,5698,13857,3062,584
39,,5697,13870,3125,579,5703,13849,3142,555
39,,5698,13857,3062,584,5699,13843,3013,603
39,,5699,13843,3013,603,5700,13842,2929,621
39,,5700,13842,2929,621,5701,13835,2832,656
39,,5701,13835,2832,656,5702,13827,2749,688
39,,5703,13849,3142,555,5704,13819,3148,540
39,,5704,13819,3148,540,5705,13804,3162,512
39,,5706,14002,3289,593,5707,14021,3276,526
39,,5707,14021,3276,526,5708,14088,3276,482
39,,5708,14088,3276,482,5709,14166,3278,439
39,,5709,14166,3278,439,5710,14173,3266,427
